time,s0,s1,s2,s3,s4,s5,s6,s7
46.82,0.0,0.0,3.5194533,0.0,0.0,0.0,0.2282418,1.0939996
46.84,0.0,0.0,3.6656623,0.0,0.0,0.0,0.22906577,1.0939996
46.86,0.0,0.0,-6.795146,0.0,0.0,0.0,-0.23297389,1.0999498
46.88,0.0,0.0,1.536279,0.0,0.0,0.0,0.13404577,1.0999498
46.9,0.0,0.0,1.9468899,0.0,0.0,0.0,0.16116037,1.1070951
46.92,0.0,0.0,10.888617,0.0,0.0,0.0,0.56183328,1.1070951
46.94,0.0,0.0,0.15858579,0.0,0.0,0.0,0.080759973,1.1115733
46.96,0.0,0.0,-12.797981,0.0,0.0,0.0,-0.48425391,1.1115733
46.98,0.0,0.0,7.7503591,0.0,0.0,0.0,0.41748002,1.1132663
47.0,0.0,0.0,5.6391912,0.0,0.0,0.0,0.32727292,1.1132663
47.02,0.0,0.0,9.0084867,0.0,0.0,0.0,0.47861775,1.1115217
47.04,0.0,0.0,9.9762821,0.0,0.0,0.0,0.52274998,1.1115217
47.06,0.0,0.0,12.006248,0.0,0.0,0.0,0.61744282,1.1068728
47.08,0.0,0.0,12.516135,0.0,0.0,0.0,0.64148495,1.1068728
47.1,0.0,0.0,10.91763,0.0,0.0,0.0,0.5678904,1.1010376
47.12,0.0,0.0,8.7192926,0.0,0.0,0.0,0.46778035,1.1010376
47.14,0.0,0.0,13.953157,0.0,0.0,0.0,0.70937219,1.0946839
47.16,0.0,0.0,14.786717,0.0,0.0,0.0,0.74979558,1.0946839
47.18,0.0,0.0,7.6551371,0.0,0.0,0.0,0.42282556,1.0893966
47.2,0.0,0.0,-12.07631,0.0,0.0,0.0,-0.45130468,1.0893966
47.22,0.0,0.0,4.814784,0.0,0.0,0.0,0.29330371,1.085866
47.24,0.0,0.0,9.9483461,0.0,0.0,0.0,0.52707885,1.085866
47.26,0.0,0.0,3.8058817,0.0,0.0,0.0,0.24508479,1.0853887
47.28,0.0,0.0,-11.895882,0.0,0.0,0.0,-0.44881055,1.0853887
47.3,0.0,0.0,-1.5683281,0.0,0.0,0.0,0.011030233,1.086539
47.32,0.0,0.0,-0.59229565,0.0,0.0,0.0,0.058135069,1.086539
47.34,0.0,0.0,1.6633689,0.0,0.0,0.0,0.15901795,1.0878544
47.36,0.0,0.0,12.409992,0.0,0.0,0.0,0.64172688,1.0878544
47.38,0.0,0.0,8.6830082,0.0,0.0,0.0,0.46918488,1.0891176
47.4,0.0,0.0,0.0041511655,0.0,0.0,0.0,0.079347614,1.0891176
47.42,0.0,0.0,10.504865,0.0,0.0,0.0,0.55272261,1.0919907
47.44,0.0,0.0,9.2211905,0.0,0.0,0.0,0.49248759,1.0919907
47.46,0.0,0.0,6.0976272,0.0,0.0,0.0,0.34781437,1.092029
47.48,0.0,0.0,8.8153725,0.0,0.0,0.0,0.47262364,1.092029
47.5,0.0,0.0,11.489623,0.0,0.0,0.0,0.59702881,1.0929577
47.52,0.0,0.0,15.617537,0.0,0.0,0.0,0.78978928,1.0929577
47.54,0.0,0.0,17.528038,0.0,0.0,0.0,0.87922282,1.0935471
47.56,0.0,0.0,16.954472,0.0,0.0,0.0,0.85156054,1.0935471
47.58,0.0,0.0,15.882143,0.0,0.0,0.0,0.80133329,1.0921612
47.6,0.0,0.0,14.497652,0.0,0.0,0.0,0.73684488,1.0921612
47.62,0.0,0.0,14.208628,0.0,0.0,0.0,0.72327793,1.0913992
47.64,0.0,0.0,2.4233847,0.0,0.0,0.0,0.18691719,1.0913992
47.66,0.0,0.0,-2.3387575,0.0,0.0,0.0,-0.027511392,1.0909371
47.68,0.0,0.0,9.8759651,0.0,0.0,0.0,0.52183362,1.0909371
47.7,0.0,0.0,8.0833778,0.0,0.0,0.0,0.43808927,1.0921144
47.72,0.0,0.0,4.9443035,0.0,0.0,0.0,0.29388704,1.0921144
47.74,0.0,0.0,-30.637663,0.0,0.0,0.0,-1.2550947,1.0928133
47.76,0.0,0.0,-4.8889604,0.0,0.0,0.0,-0.14158316,1.0928133
47.78,0.0,0.0,11.716446,0.0,0.0,0.0,0.6093775,1.0954055
47.8,0.0,0.0,9.8651085,0.0,0.0,0.0,0.5229317,1.0954055
47.82,0.0,0.0,4.4810581,0.0,0.0,0.0,0.27316455,1.098425
47.84,0.0,0.0,-15.688528,0.0,0.0,0.0,-0.64043161,1.098425
47.86,0.0,0.0,-24.624598,0.0,0.0,0.0,-1.0433206,1.1008887
47.88,0.0,0.0,-18.555374,0.0,0.0,0.0,-0.77705334,1.1008887
47.9,0.0,0.0,-10.545026,0.0,0.0,0.0,-0.40903965,1.1012838
47.92,0.0,0.0,-17.040251,0.0,0.0,0.0,-0.66572967,1.1012838
47.94,0.0,0.0,-6.7890911,0.0,0.0,0.0,-0.23815324,1.1004014
47.96,0.0,0.0,5.6472807,0.0,0.0,0.0,0.33106063,1.1004014
47.98,0.0,0.0,11.898458,0.0,0.0,0.0,0.61936788,1.1003534
48.0,0.0,0.0,2.218955,0.0,0.0,0.0,0.17829828,1.1003534
48.02,0.0,0.0,-23.92683,0.0,0.0,0.0,-1.0081944,1.1005008
48.04,0.0,0.0,-42.425003,0.0,0.0,0.0,-1.811856,1.1005008
48.06,0.0,0.0,9.2713299,0.0,0.0,0.0,0.49993645,1.1000773
48.08,0.0,0.0,11.663322,0.0,0.0,0.0,0.61348855,1.1000773
48.1,0.0,0.0,0.71729374,0.0,0.0,0.0,0.11849492,1.0971065
48.12,0.0,0.0,-7.001708,0.0,0.0,0.0,-0.24140079,1.0971065
48.14,0.0,0.0,-11.668623,0.0,0.0,0.0,-0.45635502,1.0912113
48.16,0.0,0.0,-11.983915,0.0,0.0,0.0,-0.46899693,1.0912113
48.18,0.0,0.0,-3.3325422,0.0,0.0,0.0,-0.079282547,1.0856451
48.2,0.0,0.0,6.6158671,0.0,0.0,0.0,0.3779814,1.0856451
48.22,0.0,0.0,8.6187572,0.0,0.0,0.0,0.47252907,1.082714
48.24,0.0,0.0,13.707857,0.0,0.0,0.0,0.70552601,1.082714
48.26,0.0,0.0,7.9944787,0.0,0.0,0.0,0.44561767,1.0824782
48.28,0.0,0.0,-3.9990096,0.0,0.0,0.0,-0.085080148,1.0824782
48.3,0.0,0.0,0.92615771,0.0,0.0,0.0,0.12561228,1.0818174
48.32,0.0,0.0,9.4156389,0.0,0.0,0.0,0.50431159,1.0818174
48.34,0.0,0.0,5.7770143,0.0,0.0,0.0,0.33697339,1.084408
48.36,0.0,0.0,-18.901917,0.0,0.0,0.0,-0.78198508,1.084408
48.38,0.0,0.0,-70.867409,0.0,0.0,0.0,-3.082995,1.0889876
48.4,0.0,0.0,-51.044949,0.0,0.0,0.0,-2.2374894,1.0889876
48.42,0.0,0.0,-27.573215,0.0,0.0,0.0,-1.1959773,1.0951891
48.44,0.0,0.0,-17.866558,0.0,0.0,0.0,-0.75328071,1.0951891
48.46,0.0,0.0,-5.5845971,0.0,0.0,0.0,-0.18949536,1.1002886
48.48,0.0,0.0,-3.379164,0.0,0.0,0.0,-0.088908468,1.1002886
48.5,0.0,0.0,-1.3490705,0.0,0.0,0.0,0.0054000679,1.1044559
48.52,0.0,0.0,4.04741,0.0,0.0,0.0,0.25254572,1.1044559
48.54,0.0,0.0,-1.3722681,0.0,0.0,0.0,0.0092965606,1.1077738
48.56,0.0,0.0,-10.756726,0.0,0.0,0.0,-0.40451512,1.1077738
48.58,0.0,0.0,4.9071293,0.0,0.0,0.0,0.29733647,1.1101871
48.6,0.0,0.0,13.056779,0.0,0.0,0.0,0.6728896,1.1101871
48.62,0.0,0.0,15.918458,0.0,0.0,0.0,0.80597498,1.1121747
48.64,0.0,0.0,14.432068,0.0,0.0,0.0,0.7372923,1.1121747
48.66,0.0,0.0,14.413238,0.0,0.0,0.0,0.73347639,1.1134427
48.68,0.0,0.0,11.427236,0.0,0.0,0.0,0.59438681,1.1134427
48.7,0.0,0.0,9.6928864,0.0,0.0,0.0,0.51594673,1.1144855
48.72,0.0,0.0,13.952469,0.0,0.0,0.0,0.71144901,1.1144855
48.74,0.0,0.0,16.567848,0.0,0.0,0.0,0.83253479,1.11371
48.76,0.0,0.0,17.065084,0.0,0.0,0.0,0.85480308,1.11371
48.78,0.0,0.0,16.169434,0.0,0.0,0.0,0.81225677,1.1114348
48.8,0.0,0.0,11.044241,0.0,0.0,0.0,0.57398792,1.1114348
48.82,0.0,0.0,2.7158086,0.0,0.0,0.0,0.19070387,1.1094652
48.84,0.0,0.0,-1.7390745,0.0,0.0,0.0,-0.018861293,1.1094652
48.86,0.0,0.0,-16.108969,0.0,0.0,0.0,-0.66203528,1.1081175
48.88,0.0,0.0,2.8248501,0.0,0.0,0.0,0.19044561,1.1081175
48.9,0.0,0.0,10.269559,0.0,0.0,0.0,0.53476292,1.1082621
48.92,0.0,0.0,8.5636606,0.0,0.0,0.0,0.45814091,1.1082621
48.94,0.0,0.0,10.60397,0.0,0.0,0.0,0.550032,1.1093793
48.96,0.0,0.0,13.270217,0.0,0.0,0.0,0.67133175,1.1093793
48.98,0.0,0.0,12.457818,0.0,0.0,0.0,0.6327515,1.1099951
49.0,0.0,0.0,6.6359544,0.0,0.0,0.0,0.36384681,1.1099951
49.02,0.0,0.0,0.73538995,0.0,0.0,0.0,0.098426073,1.1075405
49.04,0.0,0.0,2.0969651,0.0,0.0,0.0,0.15772363,1.1075405
49.06,0.0,0.0,7.2185187,0.0,0.0,0.0,0.38899084,1.1020758
49.08,0.0,0.0,12.515443,0.0,0.0,0.0,0.63236281,1.1020758
49.1,0.0,0.0,13.902548,0.0,0.0,0.0,0.69759355,1.096884
49.12,0.0,0.0,8.7910833,0.0,0.0,0.0,0.46159253,1.096884
49.14,0.0,0.0,-2.2171648,0.0,0.0,0.0,-0.026548925,1.0942889
49.16,0.0,0.0,6.9650145,0.0,0.0,0.0,0.38121551,1.0942889
49.18,0.0,0.0,13.384724,0.0,0.0,0.0,0.67376222,1.0932353
49.2,0.0,0.0,9.3391771,0.0,0.0,0.0,0.48791303,1.0932353
49.22,0.0,0.0,9.7178144,0.0,0.0,0.0,0.50807796,1.0919151
49.24,0.0,0.0,15.416026,0.0,0.0,0.0,0.77343879,1.0919151
49.26,0.0,0.0,16.300533,0.0,0.0,0.0,0.8170716,1.0888208
49.28,0.0,0.0,13.393972,0.0,0.0,0.0,0.68365352,1.0888208
49.3,0.0,0.0,6.9588523,0.0,0.0,0.0,0.38700652,1.0842078
49.32,0.0,0.0,-22.909519,0.0,0.0,0.0,-0.91961503,1.0842078
49.34,0.0,0.0,11.97268,0.0,0.0,0.0,0.61987032,1.0809345
49.36,0.0,0.0,15.565738,0.0,0.0,0.0,0.78678335,1.0809345
49.38,0.0,0.0,16.548494,0.0,0.0,0.0,0.83217722,1.0810255
49.4,0.0,0.0,12.995486,0.0,0.0,0.0,0.66656023,1.0810255
49.42,0.0,0.0,-13.642303,0.0,0.0,0.0,-0.52370415,1.0848416
49.44,0.0,0.0,-19.582661,0.0,0.0,0.0,-0.80799256,1.0848416
49.46,0.0,0.0,4.2499018,0.0,0.0,0.0,0.25870709,1.093094
49.48,0.0,0.0,5.8766971,0.0,0.0,0.0,0.33496098,1.093094
49.5,0.0,0.0,-4.4738665,0.0,0.0,0.0,-0.13391992,1.1032023
49.52,0.0,0.0,-3.7213433,0.0,0.0,0.0,-0.10130712,1.1032023
49.54,0.0,0.0,9.6952782,0.0,0.0,0.0,0.50795627,1.1120937
49.56,0.0,0.0,4.8348632,0.0,0.0,0.0,0.28388954,1.1120937
49.58,0.0,0.0,5.4144177,0.0,0.0,0.0,0.30925589,1.1189358
49.6,0.0,0.0,10.499732,0.0,0.0,0.0,0.54422313,1.1189358
49.62,0.0,0.0,14.690851,0.0,0.0,0.0,0.73933218,1.1237196
49.64,0.0,0.0,15.576683,0.0,0.0,0.0,0.78129766,1.1237196
49.66,0.0,0.0,16.228226,0.0,0.0,0.0,0.81273984,1.1264038
49.68,0.0,0.0,16.678942,0.0,0.0,0.0,0.83471441,1.1264038
49.7,0.0,0.0,14.984481,0.0,0.0,0.0,0.75416142,1.1255436
49.72,0.0,0.0,8.2243099,0.0,0.0,0.0,0.43862492,1.1255436
49.74,0.0,0.0,-3.5387559,0.0,0.0,0.0,-0.094276535,1.1240083
49.76,0.0,0.0,6.182888,0.0,0.0,0.0,0.34414948,1.1240083
